Student_ID,Registration_No,Gender,Age,Course,Semester,Section,Total_Classes,Classes_Attended,Attendance_Percentage,Previous_Semester_GPA,Current_CGPA,Assignment_1,Assignment_2,Avg_Assignment_Score,Avg_Tutorial_Score,Avg_Pop_Quiz,Avg_Lab_Score,Mid_Term_Assessment,Final_Term_Assessment,Capstone_Project_Marks,Study_Habits,Disciplinary_Record,Internship_Status,Teacher_Remarks,Extracurricular_Feedback,Final_Obtained_Score,Student_Grade_Band
S-10015,REG-2026-1015,F,23,BS AI,5,S3,50,27,54.0,1.59,1.59,47,33,40.0,42,37,30,22.0,49,53,Needs constant monitoring,Warning,Not Started,Frequently misses deadlines and lacks motivation.,No interest,38.95,Poor
S-10016,REG-2026-1016,F,20,BS Data Science,1,S2,50,25,51.0,1.18,1.1,37,39,38.0,25,39,21,44.0,46,42,Last-minute crammer,Probation,Not Started,Frequently misses deadlines and lacks motivation.,Struggles to participate,39.15,Poor
S-10017,REG-2026-1017,M,18,BS Info Tech,4,S1,50,36,73.0,3.06,2.77,78,60,69.0,60,65,58,60.0,56,78,Last-minute crammer,Good,Ongoing,Good effort but needs more consistency in assignments.,Participates occasionally,62.55,Average
S-10018,REG-2026-1018,M,22,BS Info Tech,7,S1,50,38,76.0,2.71,2.96,71,60,65.5,55,65,63,66.0,67,78,Last-minute crammer,Good,Ongoing,Good effort but needs more consistency in assignments.,Learning basics of music,66.8,Good
S-10019,REG-2026-1019,F,23,BS Computer Science,8,S3,50,39,78.0,3.0,2.74,68,58,63.0,58,62,64,78.0,73,69,Occasional studier,Warning,Ongoing,Good effort but needs more consistency in assignments.,Learning basics of music,69.65,Good
S-10020,REG-2026-1020,F,23,BS Info Tech,7,S1,50,40,81.0,2.51,2.45,68,61,64.5,73,73,65,63.0,59,60,Last-minute crammer,Good,Ongoing,Good effort but needs more consistency in assignments.,Participates occasionally,64.55,Average
S-10021,REG-2026-1021,M,18,BS AI,5,S1,50,49,98.0,3.94,3.71,95,95,95.0,89,89,96,83.0,86,88,Regular studier,Excellent,Completed,Outstanding performance throughout the semester.,Active club president,89.05,Excellent
S-10022,REG-2026-1022,M,25,BS Data Science,5,S3,50,44,89.0,3.67,3.7,92,87,89.5,83,90,85,92.0,97,84,Very consistent,Excellent,Completed,Shows excellent leadership and analytical skills.,Shows leadership in sports,90.35,Excellent
S-10023,REG-2026-1023,M,19,BS Software Eng,2,S2,50,44,88.0,3.88,2.91,85,95,90.0,97,80,97,81.0,93,95,Very consistent,Excellent,Completed,Outstanding performance throughout the semester.,Outstanding performer in arts,89.75,Excellent
S-10024,REG-2026-1024,M,25,BS Software Eng,8,S2,50,30,60.0,1.98,2.12,47,23,35.0,28,42,30,66.03,40,25,Last-minute crammer,Needs Improvement,Not Started,Lacks fundamental understanding of the subject matter.,Struggles to participate,39.5,Poor
S-10025,REG-2026-1025,M,18,BS Data Science,3,S3,50,34,69.0,2.73,2.43,55,75,65.0,70,69,58,65.0,78,60,Needs some guidance,Good,Not Started,"Participates occasionally, can definitely do better.",Participates occasionally,67.55,Good
S-10026,REG-2026-1026,M,20,BS Data Science,2,S3,50,30,61.0,2.1,1.99,28,34,31.0,45,31,32,52.0,22,26,Last-minute crammer,Needs Improvement,Not Started,Irregular attendance and extremely poor focus in class.,Struggles to participate,34.8,Poor
S-10027,REG-2026-1027,F,23,BS AI,7,S2,50,33,72.69,3.25,3.22,61,63,62.0,62,57,55,61.0,78,58,Last-minute crammer,Warning,Ongoing,"Participates occasionally, can definitely do better.",Average sports player,64.05,Average
S-10028,REG-2026-1028,M,25,BS Software Eng,1,S2,50,45,90.0,3.87,3.83,82,90,86.0,91,94,89,90.0,83,92,Very consistent,Excellent,Completed,Shows excellent leadership and analytical skills.,Active club president,88.35,Excellent
S-10029,REG-2026-1029,M,18,BS Computer Science,4,S3,50,45,91.0,3.53,3.79,96,96,96.0,92,97,84,91.0,84,98,Very consistent,Excellent,Completed,Shows excellent leadership and analytical skills.,Active club president,90.05,Excellent
S-10030,REG-2026-1030,F,20,BS AI,1,S2,50,44,89.0,3.79,3.98,81,99,90.0,85,90,86,89.0,85,96,Regular studier,Excellent,Completed,Brilliant understanding of core concepts. A joy to teach.,Active club president,88.25,Excellent
S-10031,REG-2026-1031,M,18,BS Computer Science,1,S1,50,34,72.69,3.05,2.79,76,73,74.5,63,75,64,66.03,69,56,Last-minute crammer,Good,Not Started,"Participates occasionally, can definitely do better.",Participates occasionally,65.15,Good
S-10032,REG-2026-1032,F,24,BS AI,4,S2,50,15,30.0,2.01,2.17,33,33,33.0,38,41,35,36.0,22,51,Last-minute crammer,Warning,Not Started,Irregular attendance and extremely poor focus in class.,No interest,33.85,Poor
S-10033,REG-2026-1033,M,21,BS Computer Science,6,S2,50,34,72.69,3.39,3.54,73,75,74.0,78,56,67,69.0,66,55,Last-minute crammer,Warning,Ongoing,Average performance. Needs to focus more on lab work.,Average sports player,66.15,Good
S-10034,REG-2026-1034,M,25,BS Software Eng,2,S3,50,43,87.0,3.8,2.91,87,89,88.0,87,85,86,96.0,96,96,Very consistent,Excellent,Completed,"Highly proactive, consistent, and quick learner.",Shows leadership in sports,91.7,Excellent
S-10035,REG-2026-1035,M,24,BS AI,8,S3,50,36,73.0,2.71,2.96,58,55,56.5,70,58,57,59.0,75,70,Occasional studier,Good,Ongoing,Average performance. Needs to focus more on lab work.,Learning basics of music,64.7,Average
S-10036,REG-2026-1036,M,21,BS Info Tech,5,S1,50,35,70.0,3.02,3.0,64,70,67.0,61,60,58,55.0,67,57,Last-minute crammer,Warning,Not Started,Average performance. Needs to focus more on lab work.,Average sports player,61.4,Average
S-10037,REG-2026-1037,M,23,BS Software Eng,2,S3,50,45,90.0,3.53,3.36,82,83,82.5,94,88,92,96.0,82,85,Highly focused,Excellent,Completed,Outstanding performance throughout the semester.,Shows leadership in sports,88.25,Excellent
S-10038,REG-2026-1038,M,25,BS AI,7,S1,50,34,69.0,2.7,2.92,74,69,71.5,71,72,58,56.0,70,74,Occasional studier,Warning,Ongoing,Average performance. Needs to focus more on lab work.,Participates occasionally,66.15,Good
S-10039,REG-2026-1039,M,19,BS Computer Science,8,S2,50,48,97.0,3.83,3.77,94,92,93.0,98,96,86,94.0,98,86,Regular studier,Excellent,Completed,Outstanding performance throughout the semester.,Outstanding performer in arts,93.45,Excellent
S-10040,REG-2026-1040,M,21,BS AI,6,S1,50,32,65.0,2.51,2.45,74,60,67.0,64,76,69,73.0,61,78,Occasional studier,Good,Not Started,Average performance. Needs to focus more on lab work.,Participates occasionally,68.75,Good
S-10041,REG-2026-1041,M,24,BS Data Science,6,S2,50,39,78.0,2.73,2.7,72,55,63.5,55,69,77,74.0,74,62,Needs some guidance,Warning,Ongoing,"Participates occasionally, can definitely do better.",Average sports player,70.95,Good
S-10042,REG-2026-1042,M,25,BS Computer Science,1,S1,50,39,79.0,2.58,2.83,65,61,63.0,58,63,70,62.0,68,75,Needs some guidance,Warning,Ongoing,Good effort but needs more consistency in assignments.,Average sports player,66.85,Good
S-10043,REG-2026-1043,F,21,BS Data Science,4,S2,50,30,61.0,1.39,1.14,43,35,39.0,46,40,49,37.0,31,42,Needs constant monitoring,Probation,Not Started,Lacks fundamental understanding of the subject matter.,Shy and inactive,39.95,Poor
S-10044,REG-2026-1044,F,22,BS Computer Science,8,S2,50,48,97.0,3.54,3.54,94,85,89.5,98,96,95,98.0,98,85,Regular studier,Excellent,Completed,Shows excellent leadership and analytical skills.,Shows leadership in sports,95.15,Excellent
S-10045,REG-2026-1045,F,21,BS AI,2,S1,50,35,70.0,2.76,2.78,72,64,68.0,74,69,61,58.0,73,60,Occasional studier,Good,Not Started,Understands the basics but struggles with complex logic.,Learning basics of music,65.9,Good
S-10046,REG-2026-1046,M,24,BS Computer Science,3,S2,50,30,60.0,2.01,1.82,53,25,39.0,21,28,25,33.0,39,40,Rarely studies,Warning,Not Started,Lacks fundamental understanding of the subject matter.,Struggles to participate,34.85,Poor
S-10047,REG-2026-1047,F,23,BS Info Tech,8,S3,50,40,81.0,2.75,2.88,65,69,67.0,59,58,72,66.03,65,67,Occasional studier,Good,Ongoing,Understands the basics but struggles with complex logic.,Learning basics of music,67.65,Good
S-10048,REG-2026-1048,F,19,BS Software Eng,1,S3,50,21,43.0,1.74,1.56,41,44,42.5,20,44,36,37.0,23,27,Rarely studies,Warning,Not Started,"Needs urgent improvement, counseling recommended.",Struggles to participate,33.05,Poor
S-10049,REG-2026-1049,F,21,BS Info Tech,7,S3,50,37,74.0,2.95,2.86,58,63,60.5,77,73,78,70.0,65,78,Occasional studier,Good,Not Started,"Participates occasionally, can definitely do better.",Participates occasionally,70.65,Good
S-10050,REG-2026-1050,F,24,BS Computer Science,1,S3,50,41,82.0,2.69,2.82,73,70,71.5,76,67,78,64.0,76,68,Last-minute crammer,Warning,Not Started,Understands the basics but struggles with complex logic.,Average sports player,72.05,Good
S-10051,REG-2026-1051,F,25,BS Software Eng,1,S1,50,22,45.0,2.42,2.4,37,34,35.5,41,46,32,31.0,33,48,Last-minute crammer,Warning,Not Started,"Needs urgent improvement, counseling recommended.",No interest,36.5,Poor
S-10052,REG-2026-1052,F,24,BS AI,4,S2,50,20,41.0,2.09,1.93,27,34,30.5,53,26,28,31.0,27,45,Needs constant monitoring,Warning,Not Started,Frequently misses deadlines and lacks motivation.,Shy and inactive,32.0,Poor
S-10053,REG-2026-1053,M,21,BS Software Eng,8,S2,50,34,69.0,3.46,3.37,75,73,74.0,64,73,55,57.0,62,76,Last-minute crammer,Good,Not Started,Average performance. Needs to focus more on lab work.,Average sports player,64.1,Average
S-10054,REG-2026-1054,M,21,BS AI,8,S1,50,15,31.0,1.81,1.66,24,51,37.5,31,24,34,38.0,31,38,Rarely studies,Warning,Not Started,Frequently misses deadlines and lacks motivation.,Struggles to participate,33.5,Poor
S-10055,REG-2026-1055,F,21,BS Computer Science,5,S2,50,33,67.0,3.05,2.82,58,59,58.5,68,66,61,60.0,61,78,Last-minute crammer,Good,Ongoing,Good effort but needs more consistency in assignments.,Participates occasionally,63.4,Average
S-10056,REG-2026-1056,M,21,BS Software Eng,6,S2,50,36,73.0,3.16,3.37,57,70,63.5,66,56,73,65.0,62,62,Occasional studier,Good,Ongoing,"Participates occasionally, can definitely do better.",Learning basics of music,64.55,Average
S-10057,REG-2026-1057,M,22,BS Software Eng,3,S2,50,41,83.0,2.55,2.69,73,76,74.5,70,77,73,75.0,77,58,Needs some guidance,Warning,Ongoing,No feedback provided,Average sports player,73.8,Good
S-10058,REG-2026-1058,M,25,BS Software Eng,2,S1,50,27,55.0,1.98,1.92,34,30,32.0,47,29,30,42.0,47,49,Last-minute crammer,Warning,Not Started,Irregular attendance and extremely poor focus in class.,Struggles to participate,40.75,Poor
S-10059,REG-2026-1059,F,18,BS Computer Science,4,S2,50,36,72.0,3.22,3.2,76,72,74.0,56,66,68,70.0,71,57,Needs some guidance,Warning,Not Started,Average performance. Needs to focus more on lab work.,Learning basics of music,68.05,Good
S-10060,REG-2026-1060,M,18,BS AI,7,S1,50,37,75.0,2.86,3.16,71,71,71.0,68,65,67,57.0,78,68,Last-minute crammer,Good,Ongoing,"Participates occasionally, can definitely do better.",Average sports player,68.5,Good
S-10061,REG-2026-1061,M,23,BS Info Tech,3,S1,50,33,67.0,2.7,2.5,73,56,64.5,65,58,55,69.0,70,66,Last-minute crammer,Good,Ongoing,"Participates occasionally, can definitely do better.",Learning basics of music,65.0,Good
S-10062,REG-2026-1062,F,23,BS Computer Science,8,S3,50,36,73.0,3.27,2.97,78,75,76.5,73,71,63,59.0,65,75,Last-minute crammer,Warning,Ongoing,Good effort but needs more consistency in assignments.,Learning basics of music,67.05,Good
S-10063,REG-2026-1063,F,20,BS Software Eng,8,S2,50,17,35.0,1.41,1.53,39,36,37.5,52,42,34,36.0,33,46,Rarely studies,Warning,Not Started,Irregular attendance and extremely poor focus in class.,Shy and inactive,37.45,Poor
S-10064,REG-2026-1064,F,21,BS Software Eng,6,S3,50,34,69.0,2.61,2.42,61,61,61.0,59,61,58,67.0,65,60,Needs some guidance,Good,Not Started,Good effort but needs more consistency in assignments.,Learning basics of music,62.95,Average
S-10065,REG-2026-1065,M,19,BS Computer Science,8,S2,50,19,39.0,1.36,1.42,22,53,37.5,41,38,23,21.0,21,23,Rarely studies,Probation,Not Started,Lacks fundamental understanding of the subject matter.,No interest,26.75,Poor
S-10066,REG-2026-1066,M,25,BS Info Tech,1,S1,50,37,75.0,3.1,3.33,58,62,60.0,78,55,68,55.0,57,55,Occasional studier,Good,Not Started,Good effort but needs more consistency in assignments.,Average sports player,60.1,Average
S-10067,REG-2026-1067,F,23,BS Data Science,8,S1,50,41,83.0,3.19,3.18,64,57,60.5,76,71,60,55.0,66,75,Occasional studier,Warning,Ongoing,Good effort but needs more consistency in assignments.,Learning basics of music,65.1,Good
S-10068,REG-2026-1068,F,25,BS AI,5,S1,50,34,69.0,2.79,3.07,72,70,71.0,56,65,74,66.0,71,66,Needs some guidance,Warning,Not Started,Understands the basics but struggles with complex logic.,Learning basics of music,68.5,Good
S-10069,REG-2026-1069,F,24,BS Computer Science,4,S1,50,39,79.0,2.94,3.11,77,78,77.5,67,59,70,58.0,55,76,Needs some guidance,Good,Ongoing,Good effort but needs more consistency in assignments.,Average sports player,64.4,Average
S-10070,REG-2026-1070,M,23,BS Computer Science,5,S2,50,36,72.69,3.12,3.24,58,69,63.5,59,69,64,67.0,78,71,Occasional studier,Good,Ongoing,Understands the basics but struggles with complex logic.,Learning basics of music,69.45,Good
S-10071,REG-2026-1071,M,23,BS Data Science,1,S3,50,42,85.0,3.72,3.67,95,99,97.0,80,99,84,85.0,96,89,Very consistent,Excellent,Completed,Shows excellent leadership and analytical skills.,Outstanding performer in arts,90.35,Excellent
S-10072,REG-2026-1072,F,25,BS Software Eng,8,S1,50,41,82.0,2.83,2.74,57,71,64.0,57,75,74,57.0,57,65,Last-minute crammer,Warning,Not Started,Good effort but needs more consistency in assignments.,Learning basics of music,64.1,Average
S-10073,REG-2026-1073,M,23,BS Info Tech,6,S2,50,28,56.0,2.15,2.35,34,31,32.5,39,26,50,36.0,48,32,Needs constant monitoring,Warning,Not Started,"Needs urgent improvement, counseling recommended.",Shy and inactive,40.5,Poor
S-10074,REG-2026-1074,F,25,BS AI,6,S2,50,32,65.0,3.15,2.9,56,55,55.5,70,75,75,64.0,57,69,Last-minute crammer,Warning,Ongoing,"Participates occasionally, can definitely do better.",Participates occasionally,65.0,Good
S-10075,REG-2026-1075,F,19,BS AI,5,S3,50,37,75.0,3.11,2.83,67,61,64.0,64,76,61,65.0,65,65,Last-minute crammer,Good,Not Started,"Participates occasionally, can definitely do better.",Average sports player,65.85,Good
S-10076,REG-2026-1076,F,24,BS Computer Science,5,S2,50,17,34.0,2.06,1.81,46,53,49.5,41,38,20,37.0,39,21,Last-minute crammer,Probation,Not Started,"Needs urgent improvement, counseling recommended.",Struggles to participate,34.75,Poor
S-10077,REG-2026-1077,M,24,BS Info Tech,4,S3,50,33,66.0,3.27,3.4,74,78,76.0,76,69,64,67.0,76,76,Last-minute crammer,Good,Not Started,"Participates occasionally, can definitely do better.",Participates occasionally,71.2,Good
S-10078,REG-2026-1078,F,25,BS Computer Science,6,S2,50,17,35.0,2.15,2.41,28,39,33.5,48,49,53,31.0,31,27,Last-minute crammer,Needs Improvement,Not Started,Lacks fundamental understanding of the subject matter.,No interest,37.0,Poor
S-10079,REG-2026-1079,M,24,BS Software Eng,4,S1,50,41,83.0,2.96,2.67,74,75,74.5,67,62,77,66.03,59,75,Needs some guidance,Good,Not Started,Understands the basics but struggles with complex logic.,Participates occasionally,68.55,Good
S-10080,REG-2026-1080,M,23,BS AI,3,S2,50,39,78.0,2.59,2.72,78,78,78.0,64,65,70,64.0,66,78,Last-minute crammer,Good,Not Started,"Participates occasionally, can definitely do better.",Average sports player,69.0,Good
S-10081,REG-2026-1081,M,21,BS AI,8,S1,50,38,76.0,2.82,2.72,65,59,62.0,61,59,71,74.0,66,78,Needs some guidance,Good,Ongoing,Average performance. Needs to focus more on lab work.,Average sports player,68.7,Good
S-10082,REG-2026-1082,F,19,BS Data Science,8,S2,50,18,36.0,1.55,1.8,20,29,24.5,35,50,44,43.0,36,48,Rarely studies,Probation,Not Started,Lacks fundamental understanding of the subject matter.,Shy and inactive,40.0,Poor
S-10083,REG-2026-1083,M,20,BS AI,8,S2,50,45,91.0,3.99,3.81,88,97,92.5,85,96,96,95.0,83,98,Regular studier,Excellent,Completed,"Highly proactive, consistent, and quick learner.",Outstanding performer in arts,91.6,Excellent
S-10084,REG-2026-1084,F,24,BS Software Eng,7,S1,50,48,97.0,3.86,3.75,97,87,92.0,93,92,91,86.0,84,95,Highly focused,Excellent,Completed,"Highly proactive, consistent, and quick learner.",Outstanding performer in arts,89.25,Excellent
S-10085,REG-2026-1085,M,22,BS Info Tech,5,S1,50,41,82.0,2.98,3.24,58,74,66.0,69,57,78,55.0,67,66,Needs some guidance,Warning,Not Started,Good effort but needs more consistency in assignments.,Participates occasionally,65.9,Good
S-10086,REG-2026-1086,F,23,BS AI,3,S2,50,15,30.0,2.39,2.55,42,47,44.5,38,42,35,53.0,46,43,Needs constant monitoring,Warning,Not Started,Lacks fundamental understanding of the subject matter.,Struggles to participate,43.7,Poor
S-10087,REG-2026-1087,F,21,BS Info Tech,4,S1,50,38,77.0,3.09,3.37,76,59,67.5,76,66,59,58.0,60,55,Last-minute crammer,Warning,Ongoing,"Participates occasionally, can definitely do better.",Average sports player,61.95,Average
S-10088,REG-2026-1088,M,20,BS AI,5,S2,50,40,80.0,2.63,2.87,66,76,71.0,71,58,55,66.03,63,74,Last-minute crammer,Warning,Ongoing,Average performance. Needs to focus more on lab work.,Participates occasionally,65.05,Good
S-10089,REG-2026-1089,M,21,BS Software Eng,3,S2,50,37,75.0,3.06,3.09,63,73,68.0,61,58,63,64.0,77,69,Last-minute crammer,Good,Ongoing,Average performance. Needs to focus more on lab work.,Participates occasionally,67.8,Good
S-10090,REG-2026-1090,F,21,BS Computer Science,3,S2,50,41,83.0,3.33,3.48,72,71,71.5,62,56,75,77.0,66,78,Needs some guidance,Good,Ongoing,Average performance. Needs to focus more on lab work.,Participates occasionally,70.95,Good
S-10091,REG-2026-1091,M,22,BS Data Science,3,S1,50,35,70.0,2.76,2.68,71,58,64.5,60,56,77,68.0,77,78,Last-minute crammer,Good,Not Started,Good effort but needs more consistency in assignments.,Average sports player,70.75,Good
S-10092,REG-2026-1092,F,20,BS AI,6,S2,50,33,67.0,3.13,3.11,78,69,73.5,78,64,71,78.0,62,61,Needs some guidance,Good,Ongoing,Good effort but needs more consistency in assignments.,Average sports player,68.85,Good
S-10093,REG-2026-1093,F,23,BS Software Eng,4,S2,50,18,37.0,1.2,1.24,42,42,42.0,30,33,21,43.0,46,29,Rarely studies,Needs Improvement,Not Started,Lacks fundamental understanding of the subject matter.,Struggles to participate,37.0,Poor
S-10094,REG-2026-1094,F,24,BS AI,1,S2,50,38,77.0,3.17,3.3,65,70,67.5,60,75,78,63.0,76,66,Needs some guidance,Good,Not Started,Average performance. Needs to focus more on lab work.,Average sports player,71.0,Good
S-10095,REG-2026-1095,M,21,BS Data Science,2,S3,50,16,32.0,2.25,2.09,47,38,42.5,49,20,38,32.0,47,40,Last-minute crammer,Probation,Not Started,Frequently misses deadlines and lacks motivation.,Shy and inactive,38.15,Poor
S-10096,REG-2026-1096,M,25,BS AI,5,S1,50,36,73.0,2.63,2.62,68,74,71.0,77,76,67,66.0,66,70,Needs some guidance,Good,Not Started,Good effort but needs more consistency in assignments.,Learning basics of music,68.95,Good
S-10097,REG-2026-1097,M,18,BS AI,5,S3,50,22,44.0,1.24,1.2,52,34,43.0,32,44,24,50.0,50,47,Last-minute crammer,Needs Improvement,Not Started,Irregular attendance and extremely poor focus in class.,Shy and inactive,43.3,Poor
S-10098,REG-2026-1098,M,18,BS Computer Science,8,S1,50,28,58.0,2.11,1.96,40,28,34.0,23,42,25,50.0,50,28,Rarely studies,Warning,Not Started,Lacks fundamental understanding of the subject matter.,No interest,40.7,Poor
S-10099,REG-2026-1099,M,21,BS Info Tech,6,S2,50,36,73.0,2.94,3.0,73,68,70.5,58,63,64,75.0,78,68,Needs some guidance,Good,Not Started,"Participates occasionally, can definitely do better.",Average sports player,70.8,Good
S-10100,REG-2026-1100,M,18,BS Info Tech,1,S1,50,37,75.0,2.76,3.05,73,65,69.0,74,68,70,57.0,67,56,Last-minute crammer,Warning,Ongoing,Understands the basics but struggles with complex logic.,Average sports player,65.4,Good
S-10101,REG-2026-1101,M,18,BS Info Tech,4,S2,50,37,75.0,2.95,2.91,78,77,77.5,67,69,61,67.0,66,58,Last-minute crammer,Good,Ongoing,Good effort but needs more consistency in assignments.,Learning basics of music,66.6,Good
S-10102,REG-2026-1102,M,23,BS Software Eng,6,S1,50,44,89.0,3.83,3.78,94,84,89.0,86,83,89,92.0,80,85,Very consistent,Excellent,Completed,Shows excellent leadership and analytical skills.,Outstanding performer in arts,86.2,Excellent
S-10103,REG-2026-1103,F,19,BS Info Tech,8,S2,50,42,85.0,3.52,3.56,98,80,89.0,82,94,96,96.0,94,82,Highly focused,Excellent,Completed,Outstanding performance throughout the semester.,Shows leadership in sports,91.95,Excellent
S-10104,REG-2026-1104,F,22,BS Software Eng,4,S2,50,41,82.0,3.45,3.38,58,65,61.5,71,61,67,69.0,62,62,Last-minute crammer,Good,Not Started,Average performance. Needs to focus more on lab work.,Learning basics of music,65.45,Good
S-10105,REG-2026-1105,M,24,BS AI,1,S3,50,34,68.0,3.16,3.02,66,58,62.0,59,72,70,55.0,59,55,Needs some guidance,Good,Ongoing,Understands the basics but struggles with complex logic.,Participates occasionally,61.5,Average
S-10106,REG-2026-1106,F,21,BS Info Tech,8,S1,50,38,77.0,3.42,3.53,74,56,65.0,75,73,56,66.0,61,75,Needs some guidance,Warning,Not Started,"Participates occasionally, can definitely do better.",Average sports player,65.75,Good
S-10107,REG-2026-1107,F,22,BS Info Tech,4,S3,50,37,74.0,2.77,2.58,64,58,61.0,71,74,77,72.0,64,67,Last-minute crammer,Warning,Not Started,Good effort but needs more consistency in assignments.,Participates occasionally,69.4,Good
S-10108,REG-2026-1108,F,18,BS Computer Science,7,S2,50,45,91.0,3.56,3.56,92,90,91.0,94,85,87,91.0,87,89,Regular studier,Excellent,Completed,No feedback provided,Active club president,88.75,Excellent
S-10109,REG-2026-1109,F,22,BS AI,1,S2,50,41,82.0,2.79,2.63,55,56,55.5,76,56,57,72.0,67,56,Needs some guidance,Good,Ongoing,"Participates occasionally, can definitely do better.",Learning basics of music,64.35,Average
S-10110,REG-2026-1110,F,18,BS Software Eng,6,S3,50,37,72.69,2.99,3.25,63,67,65.0,63,61,56,55.0,71,56,Last-minute crammer,Good,Not Started,Understands the basics but struggles with complex logic.,Learning basics of music,62.2,Average
S-10111,REG-2026-1111,M,21,BS Software Eng,6,S3,50,36,73.0,3.21,3.37,69,58,63.5,76,57,75,63.0,76,56,Last-minute crammer,Warning,Not Started,Average performance. Needs to focus more on lab work.,Average sports player,67.95,Good
S-10112,REG-2026-1112,F,21,BS Computer Science,6,S2,50,35,71.0,2.51,2.47,72,61,66.5,76,57,77,56.0,59,71,Needs some guidance,Good,Ongoing,Average performance. Needs to focus more on lab work.,Learning basics of music,64.3,Average
S-10113,REG-2026-1113,M,21,BS Data Science,3,S1,50,33,66.0,3.45,3.54,58,76,67.0,56,73,64,74.0,67,67,Needs some guidance,Good,Ongoing,"Participates occasionally, can definitely do better.",Average sports player,67.95,Good
